speed_limit,speed,licence_plate
120,114,K5N 9450
50,37,B3F 7904
90,74,E6C 7502
130,126,W9C 5119
40,30,V5W 4826
50,33,P4H 3204
120,118,C6P 8744
50,46,D1X 8968
130,121,B9E 9211
130,124,K8Y 1028
60,48,P9A 6381
100,81,Y7C 6646
120,100,K0N 3883
60,54,F3E 4228
120,119,Q4O 9881
70,62,H2S 3401
110,93,C8H 0627
40,30,T2G 5532
100,94,B8G 9945
150,143,G3J 8697
90,83,M6F 0266
100,100,X1E 1761
90,85,E3U 3154
130,115,Q9N 8128
70,62,P9D 5907
110,97,J9G 3600
50,49,V0E 7648
70,57,C5X 3414
110,105,M0V 2852
70,67,O5U 0597
60,40,P6F 4649
140,124,I4F 5961
110,105,L2D 7221
120,100,K1P 6637
150,150,N7N 7953
40,40,P3N 5429
120,117,D4W 3019
140,123,K9V 6166
110,100,H4E 8479
70,59,Y2D 9510
50,31,I2Q 0136
100,88,U7G 5073
120,109,U3V 9091
80,61,C8T 3312
80,78,P0G 0266
60,43,B5J 4658
50,42,D8C 9762
90,78,I9S 3672
140,123,T1H 6547
70,61,D8S 2422
60,47,G8J 5952
40,39,Z8O 1306
140,126,S3N 7548
100,81,V7P 0362
150,143,R2V 6166
110,101,V8A 6685
100,89,M3J 2666
80,80,P7Z 3004
60,49,T7Z 6607
110,106,W2R 4776
140,121,I5H 4862
140,123,N8L 3279
120,110,O4K 3231
120,101,L5X 8277
150,132,E6R 5576
80,75,R7F 8638
90,72,D0W 9183
110,107,O8E 2656
70,64,Y8Q 8688
50,50,D3F 2059
120,119,E5Y 7332
40,22,H6N 2410
110,91,N8M 9167
150,135,N5N 2401
50,50,U8L 8582
130,119,N0O 5698
40,31,V1W 7031
80,61,P8A 7584
150,149,I8S 5450
150,148,B8J 0208
110,90,L5O 0808
60,60,E3N 6054
40,28,C3B 4190
150,145,J7P 5010
70,51,C0Q 5845
80,78,J3Q 2158
150,140,H4F 4921
80,74,B8S 7023
100,97,E9M 6507
110,101,W5F 4790
60,51,X6Y 0902
70,67,P9M 5684
130,128,N5U 5348
40,29,E5R 4509
50,40,B5E 2406
120,113,C5D 7920
150,133,E7U 6356
140,132,S2T 7867
90,70,U2N 3114
70,70,U1K 3376
130,119,V0S 2809
60,47,P7Z 8284
100,96,D2R 2425
140,130,N7C 6234
80,70,S4U 2585
130,121,E2S 2898
70,62,D0B 7004
90,80,Z9Z 2302
60,48,W2K 8638
130,119,A1Y 3829
90,88,F8F 4527
100,84,C5O 9825
70,54,I9F 4410
80,72,R8H 8918
130,117,I1P 4681
150,153,H7Q 5940
80,78,Y2P 2388
130,120,T1C 3796
100,92,D2N 9824
70,60,L5O 4507
150,143,G7R 5017
90,89,Y1E 7758
40,28,X1Q 8061
70,57,Y9A 9896
